pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
FC,2020-09-30,85,2.34,5.87,Hyun Jin Ryu,592669,547943,home_run,hit_into_play_score,,,,,2,Hunter Renfroe hits a grand slam (1) to left field.   Randy Arozarena scores.    Yandy Diaz scores.    Manuel Margot scores.  ,F,R,L,TB,TOR,X,null,fly_ball,1,1,2020,-0.1,0.9,-0.22,3.3,668227,650490,622534,2,2,Bot,16.52,87.7,,,643376,,null,-5.78165104,-123.740152,-1.535069661,-0.282215989,24.88575048,-22.75050633,3.38,1.57,366,95.4,27,86,1922,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.61,0.186,0.209,2,1,0,3,5,23,3,Cutter,3,0,3,0,0,3,3,0,Infield shift,Standard
FC,2020-09-30,85.3,2.44,5.84,Hyun Jin Ryu,592669,547943,null,ball,,,,,13,null,F,R,L,TB,TOR,B,null,null,0,1,2020,-0.2,1,-1.32,1.33,668227,650490,622534,2,2,Bot,null,null,,,643376,,null,-8.512381291,-123.9161126,-6.308558021,-0.48174623,24.45996824,-21.08202652,3.66,1.7,null,null,null,86.3,1961,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.52,null,null,null,null,null,null,null,23,2,Cutter,3,0,3,0,0,3,3,0,Infield shift,Standard
CH,2020-09-30,79.9,2.52,5.66,Hyun Jin Ryu,592669,547943,null,foul,,,,,12,null,F,R,L,TB,TOR,S,null,null,0,0,2020,1.3,0.3,1.29,2.84,668227,650490,622534,2,2,Bot,null,null,,,643376,,null,-5.28307454,-116.2759537,-0.07185519,13.06054687,22.71914176,-29.36527041,3.38,1.57,76,60.5,10,80.7,1382,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.56,null,null,null,null,null,null,null,23,1,Changeup,3,0,3,0,0,3,3,0,Infield shift,Strategic
CH,2020-09-30,79.8,2.62,5.62,Hyun Jin Ryu,622534,547943,field_error,hit_into_play_no_out,,,,,14,Manuel Margot reaches on a fielding error by shortstop Bo Bichette.   Randy Arozarena to 3rd.    Yandy Diaz to 2nd.  ,F,R,L,TB,TOR,X,6,ground_ball,1,0,2020,1.3,0.6,0.87,1.12,null,668227,650490,2,2,Bot,112.98,160.2,,,643376,,null,-6.379169741,-115.9390189,-4.248558038,13.07663683,23.35222217,-26.22449214,3.24,1.52,5,69.1,-23,80.3,1423,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.61,0.05,0.045,0.9,1,0,0,2,22,2,Changeup,3,0,3,0,0,3,3,0,Standard,Standard
SI,2020-09-30,88,2.49,5.75,Hyun Jin Ryu,622534,547943,null,ball,,,,,13,null,F,R,L,TB,TOR,B,null,null,0,0,2020,1.6,1,-0.03,1.38,null,668227,650490,2,2,Bot,null,null,,,643376,,null,-9.503209332,-127.6148168,-6.500848713,19.33108212,28.21394407,-20.27734981,3.4,1.68,null,null,null,88.5,1967,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.52,null,null,null,null,null,null,null,22,1,Sinker,3,0,3,0,0,3,3,0,Standard,Standard
SI,2020-09-30,87.6,2.55,5.68,Hyun Jin Ryu,650490,547943,walk,ball,,,,,12,Yandy Diaz walks.  ,F,R,L,TB,TOR,B,null,null,3,0,2020,1.5,0.9,1.39,2.96,null,668227,null,2,2,Bot,null,null,,,643376,,null,-6.016136381,-127.4436531,-2.349700046,17.68546832,27.981611,-21.73650961,3.35,1.56,null,null,null,88.3,1962,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.58,null,null,0.7,1,0,0,null,21,4,Sinker,3,0,3,0,0,3,3,0,Standard,Standard
CH,2020-09-30,78.5,2.59,5.67,Hyun Jin Ryu,650490,547943,null,ball,,,,,14,null,F,R,L,TB,TOR,B,null,null,2,0,2020,1.3,0.5,0.4,0.95,null,668227,null,2,2,Bot,null,null,,,643376,,null,-7.256881408,-114.0789461,-4.246753143,12.84101073,22.40137655,-27.25997874,3.42,1.64,null,null,null,79.1,1486,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.6,null,null,null,null,null,null,null,21,3,Changeup,3,0,3,0,0,3,3,0,Standard,Standard
FC,2020-09-30,84.6,2.21,5.94,Hyun Jin Ryu,650490,547943,null,ball,,,,,2,null,F,R,L,TB,TOR,B,null,null,1,0,2020,-0.1,0.8,0.02,3.59,null,668227,null,2,2,Bot,null,null,,,643376,,null,-5.049560736,-123.1924484,-0.711268716,0.433048218,24.11443423,-24.18473914,3.5,1.69,null,null,null,85.5,1935,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.7,null,null,null,null,null,null,null,21,2,Cutter,3,0,3,0,0,3,3,0,Standard,Standard
CH,2020-09-30,77.5,2.75,5.6,Hyun Jin Ryu,650490,547943,null,ball,,,,,14,null,F,R,L,TB,TOR,B,null,null,0,0,2020,1.3,0.5,2.09,2.41,null,668227,null,2,2,Bot,null,null,,,643376,,null,-3.809027044,-112.8640972,-0.723376835,11.68324849,21.44534264,-28.18782233,3.45,1.67,null,null,null,78.2,1398,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.69,null,null,null,null,null,null,null,21,1,Changeup,3,0,3,0,0,3,3,0,Standard,Standard
FF,2020-09-30,87.9,2.3,5.87,Hyun Jin Ryu,664040,547943,field_out,hit_into_play,,,,,1,Brandon Lowe lines out to second baseman Joe Panik.  ,F,L,L,TB,TOR,X,4,line_drive,0,1,2020,0.8,1.6,-0.32,2.78,null,668227,null,1,2,Bot,155.26,140.14,,,643376,,null,-8.043745278,-127.7365704,-4.799215557,10.10336658,26.15721289,-13.51729813,3.18,1.46,162,83.8,12,88.9,2000,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.53,0.65,0.585,0,1,0,0,4,20,2,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard
FC,2020-09-30,83.8,2.46,5.9,Hyun Jin Ryu,664040,547943,null,foul,,,,,3,null,F,L,L,TB,TOR,S,null,null,0,0,2020,-0.2,0.9,0.57,3.07,null,668227,null,1,2,Bot,null,null,,,643376,,null,-4.085518441,-122.0975976,-1.995334477,-0.893187332,23.53088149,-22.77480753,3.18,1.46,null,null,null,84.9,1902,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.64,null,null,null,null,null,null,null,20,1,Cutter,3,0,3,0,0,3,3,0,Standard,Standard
CU,2020-09-30,70.9,2.28,6.05,Hyun Jin Ryu,668227,547943,double,hit_into_play_no_out,,,,,3,Randy Arozarena doubles (1) on a sharp fly ball to center fielder Randal Grichuk.  ,F,R,L,TB,TOR,X,8,fly_ball,0,0,2020,-1.1,-1.1,0.4,2.76,null,null,null,1,2,Bot,183.94,52.73,,,643376,,null,-1.860223197,-103.1207782,3.141752899,-7.316045556,20.23522413,-40.69897441,3.29,1.54,371,100.5,24,70.8,2428,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.87,0.543,0.733,1.25,1,1,1,6,19,1,Curveball,3,0,3,0,0,3,3,0,Standard,Strategic
CU,2020-09-30,73.3,2.05,6.09,Hyun Jin Ryu,670712,547943,strikeout,called_strike,,,,,6,Mike Brosseau called out on strikes.  ,F,R,L,TB,TOR,S,2,null,2,2,2020,-1.2,-1.3,0.75,2.55,null,null,null,0,2,Bot,null,null,,,643376,,null,-0.491237963,-106.5563436,2.574877503,-9.075773587,22.76977537,-42.35530679,3.43,1.59,null,null,null,73.1,2617,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.77,null,null,0,1,0,0,null,18,6,Curveball,3,0,3,0,0,3,3,0,Standard,Strategic
FC,2020-09-30,84.7,2.38,5.85,Hyun Jin Ryu,670712,547943,null,foul,,,,,2,null,F,R,L,TB,TOR,S,null,null,2,2,2020,-0.2,0.5,-0.2,2.87,null,null,null,0,2,Bot,null,null,,,643376,,null,-5.566375426,-123.2744169,-1.680716958,-1.35573306,24.67911671,-26.60911429,3.34,1.53,null,null,null,85.2,2060,,635912,547943,643376,543768,605412,624415,666182,666971,545341,606192,53.85,null,null,null,null,null,null,null,18,5,Cutter,3,0,3,0,0,3,3,0,Standard,Strategic
