"","date","team","opponent","team_score","opponent_score","tournament","city","country","neutral","team_abrv","opponent_abrv"
"1",1993-08-09,"Guinea","Sierra Leone",4,0,"Friendly","Conakry","Guinea",FALSE,"GUI","SLE"
"2",1993-08-11,"Faroe Islands","Norway",0,7,"Friendly","Toftir","Faroe Islands",FALSE,"FRO","NOR"
"3",1993-08-11,"Sweden","Switzerland",1,2,"Friendly","Borås","Sweden",FALSE,"SWE","SUI"
"4",1993-08-15,"Australia","Canada",2,1,"FIFA World Cup qualification","Sydney","Australia",FALSE,"AUS","CAN"
"5",1993-08-15,"Bolivia","Ecuador",1,0,"FIFA World Cup qualification","La Paz","Bolivia",FALSE,"BOL","ECU"
"6",1993-08-15,"Colombia","Argentina",2,1,"FIFA World Cup qualification","Barranquilla","Colombia",FALSE,"COL","ARG"
"7",1993-08-15,"Congo","Guinea",0,0,"African Cup of Nations qualification","Pointe-Noire","Congo",FALSE,"CGO","GUI"
"8",1993-08-15,"Paraguay","Peru",2,1,"FIFA World Cup qualification","Asunción","Paraguay",FALSE,"PAR","PER"
"9",1993-08-15,"Uruguay","Brazil",1,1,"FIFA World Cup qualification","Montevideo","Uruguay",FALSE,"URU","BRA"
"10",1993-08-22,"Argentina","Peru",2,1,"FIFA World Cup qualification","Buenos Aires","Argentina",FALSE,"ARG","PER"
"11",1993-08-22,"Bolivia","Venezuela",7,0,"FIFA World Cup qualification","La Paz","Bolivia",FALSE,"BOL","VEN"
"12",1993-08-22,"Brazil","Ecuador",2,0,"FIFA World Cup qualification","São Paulo","Brazil",FALSE,"BRA","ECU"
"13",1993-08-22,"Paraguay","Colombia",1,1,"FIFA World Cup qualification","Asunción","Paraguay",FALSE,"PAR","COL"
"14",1993-08-22,"Sweden","France",1,1,"FIFA World Cup qualification","Solna","Sweden",FALSE,"SWE","FRA"
"15",1993-08-25,"Austria","Finland",3,0,"FIFA World Cup qualification","Vienna","Austria",FALSE,"AUT","FIN"
"16",1993-08-25,"Denmark","Lithuania",4,0,"FIFA World Cup qualification","Copenhagen","Denmark",FALSE,"DEN","LTU"
"17",1993-08-29,"Argentina","Paraguay",0,0,"FIFA World Cup qualification","Buenos Aires","Argentina",FALSE,"ARG","PAR"
"18",1993-08-29,"Brazil","Bolivia",6,0,"FIFA World Cup qualification","Recife","Brazil",FALSE,"BRA","BOL"
"19",1993-08-29,"Colombia","Peru",4,0,"FIFA World Cup qualification","Barranquilla","Colombia",FALSE,"COL","PER"
"20",1993-08-29,"Uruguay","Venezuela",4,0,"FIFA World Cup qualification","Montevideo","Uruguay",FALSE,"URU","VEN"
"21",1993-08-31,"Iceland","United States",0,1,"Friendly","Reykjavík","Iceland",FALSE,"ISL","USA"
"22",1993-09-05,"Argentina","Colombia",0,5,"FIFA World Cup qualification","Buenos Aires","Argentina",FALSE,"ARG","COL"
"23",1993-09-05,"Brazil","Venezuela",4,0,"FIFA World Cup qualification","Belo Horizonte","Brazil",FALSE,"BRA","VEN"
"24",1993-09-05,"Ecuador","Uruguay",0,1,"FIFA World Cup qualification","Guayaquil","Ecuador",FALSE,"ECU","URU"
"25",1993-09-05,"Estonia","Portugal",0,2,"FIFA World Cup qualification","Tallinn","Estonia",FALSE,"EST","POR"
"26",1993-09-05,"Peru","Paraguay",2,2,"FIFA World Cup qualification","Lima","Peru",FALSE,"PER","PAR"
"27",1993-09-06,"Eswatini","Zimbabwe",0,1,"Friendly","Mbabane","Eswatini",FALSE,"SWZ","ZIM"
"28",1993-09-08,"Albania","Denmark",0,1,"FIFA World Cup qualification","Tirana","Albania",FALSE,"ALB","DEN"
"29",1993-09-08,"Bulgaria","Sweden",1,1,"FIFA World Cup qualification","Sofia","Bulgaria",FALSE,"BUL","SWE"
"30",1993-09-08,"England","Poland",3,0,"FIFA World Cup qualification","London","England",FALSE,"ENG","POL"
"31",1993-09-08,"Faroe Islands","Romania",0,4,"FIFA World Cup qualification","Toftir","Faroe Islands",FALSE,"FRO","ROU"
"32",1993-09-08,"Finland","France",0,2,"FIFA World Cup qualification","Tampere","Finland",FALSE,"FIN","FRA"
"33",1993-09-08,"Hungary","Russia",1,3,"FIFA World Cup qualification","Budapest","Hungary",FALSE,"HUN","RUS"
"34",1993-09-08,"Iceland","Luxembourg",1,0,"FIFA World Cup qualification","Reykjavík","Iceland",FALSE,"ISL","LUX"
"35",1993-09-08,"Republic of Ireland","Lithuania",2,0,"FIFA World Cup qualification","Dublin","Republic of Ireland",FALSE,"IRL","LTU"
"36",1993-09-08,"Northern Ireland","Latvia",2,0,"FIFA World Cup qualification","Belfast","Northern Ireland",FALSE,"NIR","LVA"
"37",1993-09-08,"Norway","United States",1,0,"Friendly","Oslo","Norway",FALSE,"NOR","USA"
"38",1993-09-08,"Scotland","Switzerland",1,1,"FIFA World Cup qualification","Aberdeen","Scotland",FALSE,"SCO","SUI"
"39",1993-09-08,"Spain","Chile",2,0,"Friendly","Alicante","Spain",FALSE,"ESP","CHI"
"40",1993-09-08,"Wales","Czech Republic",2,2,"FIFA World Cup qualification","Cardiff","Wales",FALSE,"WAL","CZE"
"41",1993-09-12,"Uruguay","Bolivia",2,1,"FIFA World Cup qualification","Montevideo","Uruguay",FALSE,"URU","BOL"
"42",1993-09-12,"Venezuela","Ecuador",2,1,"FIFA World Cup qualification","Puerto Ordaz","Venezuela",FALSE,"VEN","ECU"
"43",1993-09-15,"Morocco","Mali",3,0,"Friendly","Casablanca","Morocco",FALSE,"MAR","MLI"
"44",1993-09-17,"Saudi Arabia","Thailand",4,0,"Friendly","Dammam","Saudi Arabia",FALSE,"KSA","THA"
"45",1993-09-19,"Brazil","Uruguay",2,0,"FIFA World Cup qualification","Rio de Janeiro","Brazil",FALSE,"BRA","URU"
"46",1993-09-19,"Ecuador","Bolivia",1,1,"FIFA World Cup qualification","Guayaquil","Ecuador",FALSE,"ECU","BOL"
"47",1993-09-19,"Zimbabwe","Senegal",2,0,"Friendly","Harare","Zimbabwe",FALSE,"ZIM","SEN"
"48",1993-09-20,"Saudi Arabia","Thailand",3,0,"Friendly","Dammam","Saudi Arabia",FALSE,"KSA","THA"
"49",1993-09-22,"Albania","Spain",1,5,"FIFA World Cup qualification","Tirana","Albania",FALSE,"ALB","ESP"
"50",1993-09-22,"Estonia","Italy",0,3,"FIFA World Cup qualification","Tallinn","Estonia",FALSE,"EST","ITA"
"51",1993-09-22,"Mexico","Cameroon",1,0,"Friendly","Los Angeles","United States",TRUE,"MEX","CMR"
"52",1993-09-22,"Norway","Poland",1,0,"FIFA World Cup qualification","Oslo","Norway",FALSE,"NOR","POL"
"53",1993-09-22,"Romania","Israel",1,0,"Friendly","Bucharest","Romania",FALSE,"ROU","ISR"
"54",1993-09-22,"San Marino","Netherlands",0,7,"FIFA World Cup qualification","Bologna","Italy",TRUE,"SMR","NED"
"55",1993-09-22,"Tunisia","Germany",1,1,"Friendly","Tunis","Tunisia",FALSE,"TUN","GER"
"56",1993-09-23,"Saudi Arabia","Costa Rica",1,2,"Friendly","Khobar","Saudi Arabia",FALSE,"KSA","CRC"
"57",1993-09-24,"South Korea","Australia",1,1,"Friendly","Seoul","South Korea",FALSE,"KOR","AUS"
"58",1993-09-25,"Nigeria","Ivory Coast",4,1,"FIFA World Cup qualification","Lagos","Nigeria",FALSE,"NGA","CIV"
"59",1993-09-26,"South Korea","Australia",1,0,"Friendly","Seoul","South Korea",FALSE,"KOR","AUS"
"60",1993-09-26,"Zambia","Senegal",4,0,"FIFA World Cup qualification","Lusaka","Zambia",FALSE,"ZAM","SEN"
"61",1993-09-26,"Zimbabwe","Guinea",1,0,"FIFA World Cup qualification","Harare","Zimbabwe",FALSE,"ZIM","GUI"
"62",1993-09-27,"Saudi Arabia","Costa Rica",3,2,"Friendly","Khobar","Saudi Arabia",FALSE,"KSA","CRC"
"63",1993-09-29,"Mexico","Poland",0,0,"Friendly","Oakland","United States",TRUE,"MEX","POL"
"64",1993-10-01,"Morocco","Gabon",1,0,"Friendly","Rabat","Morocco",FALSE,"MAR","GAB"
"65",1993-10-04,"Japan","Ivory Coast",1,0,"Friendly","Tokyo","Japan",FALSE,"JPN","CIV"
"66",1993-10-05,"Cyprus","Israel",2,2,"Friendly","Limassol","Cyprus",FALSE,"CYP","ISR"
"67",1993-10-06,"Belgium","Gabon",2,1,"Friendly","Brussels","Belgium",FALSE,"BEL","GAB"
"68",1993-10-06,"Mexico","South Africa",4,0,"Friendly","Los Angeles","United States",TRUE,"MEX","RSA"
"69",1993-10-06,"Saudi Arabia","Russia",4,2,"Friendly","Khobar","Saudi Arabia",FALSE,"KSA","RUS"
"70",1993-10-08,"Algeria","Nigeria",1,1,"FIFA World Cup qualification","Algiers","Algeria",FALSE,"ALG","NGA"
"71",1993-10-10,"Cameroon","Zimbabwe",3,1,"FIFA World Cup qualification","Yaoundé","Cameroon",FALSE,"CMR","ZIM"
"72",1993-10-10,"Morocco","Zambia",1,0,"FIFA World Cup qualification","Casablanca","Morocco",FALSE,"MAR","ZAM"
"73",1993-10-12,"Luxembourg","Greece",1,3,"FIFA World Cup qualification","Luxembourg","Luxembourg",FALSE,"LUX","GRE"
