팀,구분,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
두산,타율,0.283,0.259,0.257,0.262,0.249,0.261,0.258,0.247,0.24,0.25,0.259,0.258,0.246,0.266,0.242,0.254,0.256,0.284,0.289,0.276,0.268,0.276,0.268,0.27,0.258,0.263,0.276,0.281,0.281,0.271,0.262,0.289,0.293,0.29,0.298,0.294,0.393,0.278,0.293
,출루율,0.349,0.324,0.334,0.332,0.319,0.328,0.33,0.319,0.396,0.322,0.332,0.328,0.313,0.326,0.345,0.324,0.317,0.355,0.359,0.359,0.336,0.346,0.342,0.355,0.328,0.343,0.354,0.362,0.365,0.354,0.322,0.374,0.367,0.37,0.378,0.37,0.376,0.356,0.365
,장타력,0.412,0.362,0.36,0.37,0.331,0.345,0.349,0.335,0.33,0.352,0.393,0.36,0.348,0.399,0.355,0.361,0.383,0.438,0.445,0.429,0.396,0.39,0.386,0.365,0.347,0.383,0.378,0.42,0.446,0.388,0.352,0.42,0.431,0.435,0.473,0.459,0.486,0.389,0.427
,OPS,0.762,0.687,0.693,0.757,0.653,0.669,0.67,0.653,0.639,0.672,0.725,0.688,0.662,0.725,0.66,0.685,0.7,0.793,0.8,0.783,0.726,0.736,0.723,0.715,0.676,0.726,0.732,0.781,0.852,0.742,0.673,0.793,0.797,0.844,0.86,0.828,0.862,0.745,0.792
롯데,타율,0.256,0.244,0.257,0.256,0.248,0.268,0.273,0.247,0.245,0.26,0.288,0.248,0.257,0.255,0.274,0.237,0.255,0.291,0.263,0.28,0.245,0.256,0.252,0.253,0.25,0.27,0.282,0.277,0.288,0.288,0.263,0.267,0.287,0.282,0.288,0.285,0.289,0.253,0.276
,출루율,0.344,0.314,0.339,0.327,0.316,0.343,0.339,0.337,0.331,0.339,0.366,0.32,0.323,0.333,0.342,0.353,0.329,0.363,0.334,0.365,0.354,0.317,0.327,0.322,0.327,0.343,0.356,0.35,0.352,0.358,0.326,0.345,0.369,0.356,0.372,0.356,0.357,0.316,0.353
,장타력,0.373,0.366,0.377,0.377,0.333,0.36,0.377,0.327,0.335,0.378,0.417,0.328,0.357,0.364,0.393,0.346,0.386,0.469,0.385,0.425,0.355,0.366,0.364,0.372,0.357,0.377,0.447,0.423,0.465,0.422,0.364,0.362,0.436,0.446,0.422,0.433,0.48,0.358,0.408
,OPS,0.717,0.679,0.78,0.744,0.649,0.726,0.716,0.664,0.666,0.717,0.782,0.647,0.682,0.696,0.733,0.654,0.791,0.824,0.719,0.798,0.668,0.682,0.699,0.694,0.684,0.717,0.762,0.773,0.813,0.789,0.69,0.752,0.848,0.816,0.793,0.789,0.827,0.674,0.761
삼성,타율,0.266,0.263,0.27,0.276,0.276,0.319,0.278,0.272,0.263,0.272,0.265,0.268,0.26,0.25,0.249,0.277,0.268,0.273,0.269,0.277,0.284,0.284,0.269,0.268,0.255,0.254,0.258,0.275,0.273,0.259,0.272,0.283,0.313,0.319,0.293,0.279,0.288,0.256,0.268
,출루율,0.347,0.333,0.343,0.355,0.345,0.367,0.356,0.346,0.348,0.357,0.349,0.344,0.339,0.324,0.328,0.356,0.346,0.352,0.348,0.363,0.36,0.362,0.346,0.357,0.341,0.349,0.344,0.364,0.368,0.343,0.353,0.359,0.378,0.378,0.367,0.34,0.355,0.329,0.338
