팀,구분,연도,기록
두산,타율,1982,0.283
두산,타율,1983,0.259
두산,타율,1984,0.257
두산,타율,1985,0.262
두산,타율,1986,0.249
두산,타율,1987,0.261
두산,타율,1988,0.258
두산,타율,1989,0.247
두산,타율,1990,0.24
두산,타율,1991,0.25
두산,타율,1992,0.259
두산,타율,1993,0.258
두산,타율,1994,0.246
두산,타율,1995,0.266
두산,타율,1996,0.242
두산,타율,1997,0.254
두산,타율,1998,0.256
두산,타율,1999,0.284
두산,타율,2000,0.289
두산,타율,2001,0.276
두산,타율,2002,0.268
두산,타율,2003,0.276
두산,타율,2004,0.268
두산,타율,2005,0.27
두산,타율,2006,0.258
두산,타율,2007,0.263
두산,타율,2008,0.276
두산,타율,2009,0.281
두산,타율,2010,0.281
두산,타율,2011,0.271
두산,타율,2012,0.262
두산,타율,2013,0.289
두산,타율,2014,0.293
두산,타율,2015,0.29
두산,타율,2016,0.298
두산,타율,2017,0.294
두산,타율,2018,0.393
두산,타율,2019,0.278
두산,타율,2020,0.293
롯데,출루율,1982,0.349
롯데,출루율,1983,0.324
롯데,출루율,1984,0.334
롯데,출루율,1985,0.332
롯데,출루율,1986,0.319
롯데,출루율,1987,0.328
롯데,출루율,1988,0.33
롯데,출루율,1989,0.319
롯데,출루율,1990,0.396
롯데,출루율,1991,0.322
롯데,출루율,1992,0.332
롯데,출루율,1993,0.328
롯데,출루율,1994,0.313
롯데,출루율,1995,0.326
롯데,출루율,1996,0.345
롯데,출루율,1997,0.324
롯데,출루율,1998,0.317
롯데,출루율,1999,0.355
롯데,출루율,2000,0.359
롯데,출루율,2001,0.359
롯데,출루율,2002,0.336
롯데,출루율,2003,0.346
롯데,출루율,2004,0.342
롯데,출루율,2005,0.355
롯데,출루율,2006,0.328
롯데,출루율,2007,0.343
롯데,출루율,2008,0.354
롯데,출루율,2009,0.362
롯데,출루율,2010,0.365
롯데,출루율,2011,0.354
롯데,출루율,2012,0.322
롯데,출루율,2013,0.374
롯데,출루율,2014,0.367
롯데,출루율,2015,0.37
롯데,출루율,2016,0.378
롯데,출루율,2017,0.37
롯데,출루율,2018,0.376
롯데,출루율,2019,0.356
롯데,출루율,2020,0.365
롯데,장타력,1982,0.412
롯데,장타력,1983,0.362
롯데,장타력,1984,0.36
롯데,장타력,1985,0.37
롯데,장타력,1986,0.331
롯데,장타력,1987,0.345
롯데,장타력,1988,0.349
롯데,장타력,1989,0.335
롯데,장타력,1990,0.33
롯데,장타력,1991,0.352
롯데,장타력,1992,0.393
롯데,장타력,1993,0.36
롯데,장타력,1994,0.348
롯데,장타력,1995,0.399
롯데,장타력,1996,0.355
롯데,장타력,1997,0.361
롯데,장타력,1998,0.383
롯데,장타력,1999,0.438
롯데,장타력,2000,0.445
롯데,장타력,2001,0.429
롯데,장타력,2002,0.396
롯데,장타력,2003,0.39
롯데,장타력,2004,0.386
롯데,장타력,2005,0.365
롯데,장타력,2006,0.347
롯데,장타력,2007,0.383
롯데,장타력,2008,0.378
롯데,장타력,2009,0.42
롯데,장타력,2010,0.446
롯데,장타력,2011,0.388
롯데,장타력,2012,0.352
롯데,장타력,2013,0.42
롯데,장타력,2014,0.431
롯데,장타력,2015,0.435
롯데,장타력,2016,0.473
롯데,장타력,2017,0.459
롯데,장타력,2018,0.486
롯데,장타력,2019,0.389
롯데,장타력,2020,0.427
롯데,OPS,1982,0.762
롯데,OPS,1983,0.687
롯데,OPS,1984,0.693
롯데,OPS,1985,0.757
롯데,OPS,1986,0.653
롯데,OPS,1987,0.669
롯데,OPS,1988,0.67
롯데,OPS,1989,0.653
롯데,OPS,1990,0.639
롯데,OPS,1991,0.672
롯데,OPS,1992,0.725
롯데,OPS,1993,0.688
롯데,OPS,1994,0.662
롯데,OPS,1995,0.725
롯데,OPS,1996,0.66
롯데,OPS,1997,0.685
롯데,OPS,1998,0.7
롯데,OPS,1999,0.793
롯데,OPS,2000,0.8
롯데,OPS,2001,0.783
롯데,OPS,2002,0.726
롯데,OPS,2003,0.736
롯데,OPS,2004,0.723
롯데,OPS,2005,0.715
롯데,OPS,2006,0.676
롯데,OPS,2007,0.726
롯데,OPS,2008,0.732
롯데,OPS,2009,0.781
롯데,OPS,2010,0.852
롯데,OPS,2011,0.742
롯데,OPS,2012,0.673
롯데,OPS,2013,0.793
롯데,OPS,2014,0.797
롯데,OPS,2015,0.844
롯데,OPS,2016,0.86
